Name,Status,Type,Creator,Date,Day_Start,Day_End,Month_Start,Month_Finish,Date_Start,Date_End,Year,Time_Start,Duration,Location,Going,Attendance,Date_Date_Excel,,lat,lon
Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, DECEMBER 8, 2013 AT 10 AM UTC+03",SUNDAY,SUNDAY,DECEMBER,December,8,8,2013,10:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,10,"Sunday, December 8, 2013",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, DECEMBER 14, 2013 AT 4 PM UTC+03",SATURDAY,SATURDAY,DECEMBER,December,14,14,2013,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,9,"Saturday, December 14, 2013",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, DECEMBER 15, 2013 AT 10 AM UTC+03",SUNDAY,SUNDAY,DECEMBER,December,15,15,2013,10:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,8,"Sunday, December 15, 2013",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, DECEMBER 21, 2013 AT 4 PM UTC+03",SATURDAY,SATURDAY,DECEMBER,December,21,21,2013,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,6,"Saturday, December 21, 2013",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, DECEMBER 22, 2013 AT 10 AM UTC+03",SUNDAY,SUNDAY,DECEMBER,December,22,22,2013,10:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,9,"Sunday, December 22, 2013",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, DECEMBER 28, 2013 AT 4 PM UTC+03",SATURDAY,SATURDAY,DECEMBER,December,28,28,2013,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,6,"Saturday, December 28, 2013",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, DECEMBER 29, 2013 AT 10 AM UTC+03",SUNDAY,SUNDAY,DECEMBER,December,29,29,2013,10:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,6,"Sunday, December 29, 2013",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, JANUARY 5, 2014 AT 10 AM UTC+03",SUNDAY,SUNDAY,JANUARY,January,5,5,2014,10:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,9,"Sunday, January 5, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, JANUARY 11, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,JANUARY,January,11,11,2014,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,10,"Saturday, January 11, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, JANUARY 12, 2014 AT 10 AM UTC+03",SUNDAY,SUNDAY,JANUARY,January,12,12,2014,10:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,7,"Sunday, January 12, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"WEDNESDAY, JANUARY 15, 2014 AT 6 PM UTC+03",WEDNESDAY,WEDNESDAY,JANUARY,January,15,15,2014,6:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,8,"Wednesday, January 15, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, JANUARY 18, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,JANUARY,January,18,18,2014,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,11,"Saturday, January 18, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, JANUARY 19, 2014 AT 11 AM UTC+03",SUNDAY,SUNDAY,JANUARY,January,19,19,2014,11:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,9,"Sunday, January 19, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, JANUARY 25, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,JANUARY,January,25,25,2014,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,9,"Saturday, January 25, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, JANUARY 26, 2014 AT 11 AM UTC+03",SUNDAY,SUNDAY,JANUARY,January,26,26,2014,11:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,8,"Sunday, January 26, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, FEBRUARY 1, 2014 AT 11 AM UTC+03",SATURDAY,SATURDAY,FEBRUARY,February,1,1,2014,11:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,20,"Saturday, February 1, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, FEBRUARY 2, 2014 AT 11 AM UTC+03",SUNDAY,SUNDAY,FEBRUARY,February,2,2,2014,11:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,8,"Sunday, February 2, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, FEBRUARY 23, 2014 AT 11 AM UTC+03",SUNDAY,SUNDAY,FEBRUARY,February,23,23,2014,11:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,16,"Sunday, February 23, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, MARCH 1, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,MARCH,March,1,1,2014,4:00 PM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,11,"Saturday, March 1, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, MARCH 2, 2014 AT 11 AM UTC+03",SUNDAY,SUNDAY,MARCH,March,2,2,2014,11:00 AM,Duration: 3 hr,"ул. Флотская, 11а, москва",No Data,11,"Sunday, March 2, 2014",,55.8552041,37.50240916
Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, MARCH 8, 2014 AT 1:30 PM - 5 PM UTC+03",SATURDAY,SATURDAY,MARCH,March,8,8,2014,1:30 PM,Duration: 3 hr,"Трёхпрудный переулок, 11/13",No Data,4,"Saturday, March 8, 2014",,55.7658433,37.5966194
Cold War II/The Long Thaw,Completed,Intra-Squad Game,Eugene Arkhipov,"SUNDAY, MARCH 9, 2014 AT 1 PM - 3 PM UTC+03",SUNDAY,SUNDAY,MARCH,March,9,9,2014,1:00 PM,Duration: 2 hr,"Ул. Рогова, 12к1",No Data,20,"Sunday, March 9, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, MARCH 15, 2014 AT 4PM - 7PM",SATURDAY,SATURDAY,MARCH,March,15,15,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,7,"Saturday, March 15, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, MARCH 16, 2014 AT 1 PM UTC+03",SUNDAY,SUNDAY,MARCH,March,16,16,2014,1:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,10,"Sunday, March 16, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, MARCH 22, 2014 AT 4PM - 7PM",SATURDAY,SATURDAY,MARCH,March,22,22,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,6,"Saturday, March 22, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, MARCH 23, 2014 AT 11:45 AM UTC+03",SUNDAY,SUNDAY,MARCH,March,23,23,2014,11:45 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,9,"Sunday, March 23, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, MARCH 29, 2014 AT 4PM - 7PM",SATURDAY,SATURDAY,MARCH,March,29,29,2014,4:00 PM,Duration: 2 hr,"Ул. Рогова, 12к1",No Data,7,"Saturday, March 29, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, MARCH 30, 2014 AT 11:45 AM UTC+03",SUNDAY,SUNDAY,MARCH,March,30,30,2014,11:45 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,16,"Sunday, March 30, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, APRIL 5, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,APRIL,April,5,5,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,5,"Saturday, April 5, 2014",,55.79736195,37.46118699
Cold War 3 - Slavic Spring,Completed,Intra-Squad Game,Eugene Arkhipov,"SUNDAY, APRIL 6, 2014 AT 11:45 AM - 2:45 PM UTC+03",SUNDAY,SUNDAY,APRIL,April,6,6,2014,11:45 AM,Duration: 2 hr,"Ул. Рогова, 12к1",No Data,20,"Sunday, April 6, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, APRIL 12, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,APRIL,April,12,12,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,9,"Saturday, April 12, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, APRIL 13, 2014 AT 11:45 AM UTC+03",SUNDAY,SUNDAY,APRIL,April,13,13,2014,11:45 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,10,"Sunday, April 13, 2014",,55.79736195,37.46118699
MLC at Zombies Lacrosse Cup 2014,Completed,Tournament,Eugene Arkhipov,"FRIDAY, APRIL 18, 2014 AT 11 AM UTC+03",FRIDAY,FRIDAY,APRIL,April,18,18,2014,11:00 AM,Duration: 2 hr,"Stadion Fk Bask, Belgrade, Serbia",No Data,14,"Friday, April 18, 2014",,44.78452292,20.43243496
The Dear Leaders Moscow International Youth Lacrosse Tournament,Completed,Clinic,Eugene Arkhipov,"SATURDAY, APRIL 26, 2014 AT 12 PM UTC+03",SATURDAY,SATURDAY,APRIL,April,26,26,2014,12:00 PM,Duration: 2 hr,"ул. Флотская, 11а, москва",No Data,11,"Saturday, April 26, 2014",,55.8552041,37.50240916
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, APRIL 26, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,APRIL,April,26,26,2014,4:00 PM,Duration: 3 hr,Конаковский пр. 5,No Data,4,"Saturday, April 26, 2014",,55.845782,37.481224
Latvian Lacrosse League,Completed,Championship,Eugene Arkhipov,"SATURDAY, APRIL 26, 2014 AT 11 PM UTC+03",SATURDAY,SUNDAY,APRIL,April,26,27,2014,11:00 PM,Duration: 2 days,"Riga, Jelgava, Druva",No Data,3,"Saturday, April 26, 2014",,56.66110193,23.75561766
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, APRIL 27, 2014 AT 11 AM UTC+03",SUNDAY,SUNDAY,APRIL,April,27,27,2014,11:00 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,10,"Sunday, April 27, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, MAY 3, 2014 AT 11 PM UTC+03",SATURDAY,SATURDAY,MAY,May,3,3,2014,11:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,5,"Saturday, May 3, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, MAY 3, 2014 AT 12 PM UTC+03",SATURDAY,SATURDAY,MAY,May,3,3,2014,12:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,2,"Saturday, May 3, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, MAY 10, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,MAY,May,10,10,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,7,"Saturday, May 10, 2014",,55.79736195,37.46118699
Slavic Spring (V-Day),Completed,Intra-Squad Game,Eugene Arkhipov,"SUNDAY, MAY 11, 2014 AT 12 PM UTC+03",SUNDAY,SUNDAY,MAY,May,11,11,2014,12:00 PM,Duration: 2 hr,"Ул. Рогова, 12к1",No Data,20,"Sunday, May 11, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, MAY 17, 2014 AT 11 AM - 5 PM UTC+03",SATURDAY,SATURDAY,MAY,May,17,17,2014,11:00 AM,Duration: 6 hr,"Ул. Рогова, 12к1",No Data,4,"Saturday, May 17, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, MAY 18, 2014 AT 12 PM UTC+03",SUNDAY,SUNDAY,MAY,May,18,18,2014,12:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,11,"Sunday, May 18, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, MAY 24, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,MAY,May,24,24,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,8,"Saturday, May 24, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, MAY 25, 2014 AT 12 PM UTC+03",SUNDAY,SUNDAY,MAY,May,25,25,2014,12:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,8,"Sunday, May 25, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, JUNE 1, 2014 AT 12 PM UTC+03",SUNDAY,SUNDAY,JUNE,June,1,1,2014,12:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,5,"Sunday, June 1, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, JUNE 7, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,JUNE,June,7,7,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,8,"Saturday, June 7, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, JUNE 14, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,JUNE,June,14,14,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,5,"Saturday, June 14, 2014",,55.79736195,37.46118699
Infernal Conflict (Heat Rising),Completed,Intra-Squad Game,Eugene Arkhipov,"SUNDAY, JUNE 15, 2014 AT 12 PM UTC+03",SUNDAY,SUNDAY,JUNE,June,15,15,2014,12:00 PM,Duration: 2 hr,"Ул. Рогова, 12к1",No Data,13,"Sunday, June 15, 2014",,55.79736195,37.46118699
Съёмка видео / Fundraising Video Shooting,Completed,Administrative Function,Eugene Arkhipov,"SATURDAY, JUNE 21, 2014 AT 11 AM - 3 PM UTC+03",SATURDAY,SATURDAY,JUNE,June,21,21,2014,11:00 AM,Duration: 4 hr,"Ул. Рогова, 12к1",No Data,10,"Saturday, June 21, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, JUNE 22, 2014 AT 12 PM UTC+03",SUNDAY,SUNDAY,JUNE,June,22,22,2014,12:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,8,"Sunday, June 22, 2014",,55.79736195,37.46118699
Спортивный праздник Царь Горы,Completed,Clinic/Game/Marketing Event,Eugene Arkhipov,"SATURDAY, JUNE 28, 2014 AT 9 AM UTC+03",SATURDAY,SATURDAY,JUNE,June,28,28,2014,9:00 AM,Duration: 6 hr,"г. Москва, ул. Косыгина, 17",No Data,7,"Saturday, June 28, 2014",,55.741469,37.615561
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, JUNE 29, 2014 AT 12 PM UTC+03",SUNDAY,SUNDAY,JUNE,June,29,29,2014,12:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,4,"Sunday, June 29, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, JULY 27, 2014 AT 11 AM UTC+03",SUNDAY,SUNDAY,JULY,July,27,27,2014,11:00 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,4,"Sunday, July 27, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, AUGUST 2, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,AUGUST,August,2,2,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,6,"Saturday, August 2, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, AUGUST 3, 2014 AT 11:30 AM UTC+03",SUNDAY,SUNDAY,AUGUST,August,3,3,2014,11:30 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,7,"Sunday, August 3, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, AUGUST 9, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,AUGUST,August,9,9,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,8,"Saturday, August 9, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, AUGUST 10, 2014 AT 11:30 AM UTC+03",SUNDAY,SUNDAY,AUGUST,August,10,10,2014,11:30 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,4,"Sunday, August 10, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, AUGUST 16, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,AUGUST,August,16,16,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,10,"Saturday, August 16, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, AUGUST 17, 2014 AT 11:30 AM UTC+03",SUNDAY,SUNDAY,AUGUST,August,17,17,2014,11:30 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,6,"Sunday, August 17, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, AUGUST 23, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,AUGUST,August,23,23,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,11,"Saturday, August 23, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, AUGUST 24, 2014 AT 11:30 AM UTC+03",SUNDAY,SUNDAY,AUGUST,August,24,24,2014,11:30 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,12,"Sunday, August 24, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, AUGUST 30, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,AUGUST,August,30,30,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,11,"Saturday, August 30, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, AUGUST 31, 2014 AT 11:30 AM UTC+03",SUNDAY,SUNDAY,AUGUST,August,31,31,2014,11:30 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,7,"Sunday, August 31, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, SEPTEMBER 6, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,SEPTEMBER,September,6,6,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,11,"Saturday, September 6, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, SEPTEMBER 7, 2014 AT 11:30 AM UTC+03",SUNDAY,SUNDAY,SEPTEMBER,September,7,7,2014,11:30 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,7,"Sunday, September 7, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, SEPTEMBER 13, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,SEPTEMBER,September,13,13,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,6,"Saturday, September 13, 2014",,55.79736195,37.46118699
The Early Frost,Completed,Intra-Squad Game,Eugene Arkhipov,"SUNDAY, SEPTEMBER 14, 2014 AT 11:30 AM UTC+03",SUNDAY,SUNDAY,SEPTEMBER,September,14,14,2014,11:30 AM,Duration: 2 hr,"Ул. Рогова, 12к1",No Data,15,"Sunday, September 14, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, SEPTEMBER 20, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,SEPTEMBER,September,20,20,2014,4:00 PM,Duration: 3 hr,верхняя аллея 12,No Data,5,"Saturday, September 20, 2014",,55.833562,37.56345665
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, SEPTEMBER 21, 2014 AT 11:30 AM UTC+03",SUNDAY,SUNDAY,SEPTEMBER,September,21,21,2014,11:30 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,5,"Sunday, September 21, 2014",,55.79736195,37.46118699
The Northern War,Completed,Intra-Squad Game,Eugene Arkhipov,"SATURDAY, SEPTEMBER 27, 2014 AT 5 PM",SATURDAY,SATURDAY,SEPTEMBER,September,27,27,2014,5:00 PM,Duration: 2 hr,"Helsinki Velodrome, Mäkelänkatu 70, 00520 Helsinki",No Data,20,"Saturday, September 27, 2014",,60.20362005,24.94200335
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, SEPTEMBER 27, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,SEPTEMBER,September,27,27,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,7,"Saturday, September 27, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, SEPTEMBER 28, 2014 AT 11:30 AM UTC+03",SUNDAY,SUNDAY,SEPTEMBER,September,28,28,2014,11:30 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,8,"Sunday, September 28, 2014",,55.79736195,37.46118699
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, OCTOBER 5, 2014 AT 11:30 AM UTC+03",SUNDAY,SUNDAY,OCTOBER,October,5,5,2014,11:30 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,8,"Sunday, October 5, 2014",,55.79736195,37.46118699
Лакросс - Кубок Столиц / Lacrosse - The Capitals Cup,Completed,Championship,Eugene Arkhipov,"SATURDAY, OCTOBER 11, 2014 AT 12 PM - 3 PM UTC+03",SATURDAY,SATURDAY,OCTOBER,October,11,11,2014,12:00 PM,Duration: 3 hr,Парк культуры и отдыха Таганский,No Data,20,"Saturday, October 11, 2014",,55.73766695,37.66759447
Sunday Practice,Completed,Team Practice,Eugene Arkhipov,"SUNDAY, OCTOBER 12, 2014 AT 11:30 AM UTC+03",SUNDAY,SUNDAY,OCTOBER,October,12,12,2014,11:30 AM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,7,"Sunday, October 12, 2014",,55.79736195,37.46118699
Saturday Practice,Completed,Team Practice,Eugene Arkhipov,"SATURDAY, OCTOBER 18, 2014 AT 4 PM UTC+03",SATURDAY,SATURDAY,OCTOBER,October,18,18,2014,4:00 PM,Duration: 3 hr,"Ул. Рогова, 12к1",No Data,9,"Saturday, October 18, 2014",,55.79736195,37.46118699
